id,lemma,pos,count
8288,крона,NOUN,5
8289,доль,NOUN,5
8290,найменне,NOUN,5
8291,запарожца,NOUN,5
8292,бядней,ADV,5
8293,ўсясільны,ADJ,5
8294,важка,NOUN,5
8295,спадабаць,VERB,5
8296,зласлівы,ADJ,5
8297,дзяўчат,NOUN,5
8298,адлёт,NOUN,5
8299,ўранне,NOUN,5
8300,маулне,NOUN,5
8301,рагач,NOUN,5
8302,пасабіць,VERB,5
8303,нічога,PART,5
8304,пайшоу,NOUN,5
8305,татачка,NOUN,5
8306,востра,ADJ,5
8307,гарб,NOUN,5
8308,мыс,NOUN,5
8309,апляць,VERB,5
8310,пей,VERB,5
8311,храпа,NOUN,5
8312,сурдут,NOUN,5
8313,распазнаць,VERB,5
8314,шлі,INTJ,5
8315,розаг,NOUN,5
8316,паслацца,VERB,5
8317,кастусь,PROPN,5
8318,сляза,PRON,5
8319,фундамент,NOUN,5
8320,мін,ADV,5
8321,крыкна,NOUN,5
8322,усялякі,DET,5
8323,здрадніцкі,ADJ,5
8324,пашкодзіць,VERB,5
8325,паціснуць,VERB,5
8326,наецца,VERB,5
8327,жабрацкі,ADJ,5
8328,падцінаць,VERB,5
8329,мядзведжы,ADJ,5
8330,часнок,NOUN,5
8331,заработка,ADV,5
8332,плыў,NOUN,5
8333,іскрыст,NOUN,5
8334,карыць,VERB,5
8335,наследнік,NOUN,5
8336,каралеўскі,ADJ,5
8337,каханы,NOUN,5
8338,неадчэпны,ADJ,5
8339,брка,NOUN,5
8340,паклоны,NOUN,5
8341,кумпяк,NOUN,5
8342,памра,NOUN,5
8343,напляваць,VERB,5
8344,грузавік,NOUN,5
8345,дузаць,ADV,5
8346,дружак,NOUN,5
8347,гуляк,NOUN,5
8348,нядоля,ADP,5
8349,калючка,NOUN,5
8350,ушанаваць,VERB,5
8351,кавун,NOUN,5
8352,мяшаць,VERB,5
8353,сабача,NOUN,5
8354,булка,NOUN,5
8355,бракаваць,VERB,5
8356,высок,NOUN,5
8357,асінавы,ADJ,5
8358,маа,ADV,5
8359,прыселле,NOUN,5
8360,багатыр,NOUN,5
8361,сэрца,ADV,5
8362,мацнейшы,ADJ,5
8363,цікаваць,VERB,5
8364,заблытаць,VERB,5
8365,разлука,NOUN,5
8366,прасветласць,NOUN,5
8367,захавацца,VERB,5
8368,уладаць,VERB,5
8369,польны,ADJ,5
8370,святы,ADV,5
8371,прыслужнік,NOUN,5
8372,дзвіна,NOUN,5
8373,тварэнне,NOUN,5
8374,кланіцца,VERB,5
8375,нясцца,VERB,5
8376,нападаць,VERB,5
8377,устаць,NOUN,5
8378,найвялікшы,ADJ,5
8379,сытны,ADJ,5
8380,лба,NOUN,5
8381,заглянін,NOUN,5
8382,паўвек,NOUN,5
8383,стуліцца,VERB,5
8384,спарней,ADV,5
8385,нясе,VERB,5
8386,разліваць,VERB,5
8387,ўвысь,VERB,5
8388,гарадскі,ADJ,5
8389,бяда,VERB,5
8390,прызыць,NOUN,5
8391,касьба,NOUN,5
8392,сягонняшні,ADJ,5
8393,працаваць,NOUN,5
8394,песенёк,NOUN,5
8395,прыёмнік,NOUN,5
8396,спатк,NOUN,5
8397,помніш,ADV,5
8398,крымскі,ADJ,5
8399,валошка,NOUN,5
8400,разрух,NOUN,5
8401,непакой,NOUN,5
8402,згодна,ADP,5
8403,вярбінка,NOUN,5
8404,ахопіць,VERB,5
8405,руплівы,ADJ,5
8406,чэх,NOUN,5
8407,зрадзець,VERB,5
8408,рэкорд,NOUN,5
8409,дзьверы,NOUN,5
8410,весць,VERB,5
8411,муціць,VERB,5
8412,засекунда,NOUN,5
8413,ласкава,ADV,5
8414,скарбніца,NOUN,5
8415,падзець,VERB,5
8416,курчыцца,VERB,5
8417,параць,VERB,5
8418,галасісты,ADJ,5
8419,ведзьма,PROPN,5
8420,️сумленне,NOUN,5
8421,панарад,NOUN,5
8422,павячэраць,VERB,5
8423,лісцё,NOUN,5
8424,папіхаць,VERB,5
8425,прыплыць,VERB,5
8426,сла,NOUN,5
8427,адплыць,VERB,5
8428,горыч,ADV,5
8429,звычы,NOUN,5
8430,ўседзець,VERB,5
8431,спяш,NOUN,5
8432,расць,NOUN,5
8433,незгасальны,ADJ,5
8434,акон,NOUN,5
8435,цямнейшы,ADJ,5
